iter	Passed	Remaining
599	74078	175936
600	74187	175778
601	74307	175647
602	74393	175434
603	74495	175262
604	74600	175096
605	74723	174972
606	74828	174804
607	74937	174648
608	75053	174509
609	75184	174403
610	75300	174263
611	75425	174145
612	75626	174200
613	75748	174073
614	75875	173959
615	75978	173787
616	76099	173660
617	76206	173498
618	76313	173339
619	76424	173187
620	76530	173026
621	76648	172889
622	76759	172738
623	76874	172598
624	76994	172468
625	77118	172346
626	77225	172187
627	77326	172014
628	77446	171884
629	77560	171741
630	77674	171598
631	77763	171399
632	77846	171188
633	77950	171023
634	78071	170897
635	78173	170727
636	78260	170527
637	78374	170383
638	78475	170213
639	78564	170019
640	78685	169891
641	78793	169738
642	78922	169628
643	79047	169509
644	79158	169361
645	79254	169181
646	79360	169025
647	79484	168904
648	79615	168799
649	79747	168696
650	79859	168550
651	79950	168361
652	80054	168201
653	80186	168097
654	80297	167949
655	80440	167870
656	80542	167705
657	80651	167553
658	80754	167390
659	80876	167268
660	80983	167113
661	81116	167010
662	81238	166889
663	81345	166732
664	81466	166607
665	81566	166440
666	81670	166280
667	81773	166117
668	81890	165984
669	81996	165828
670	82089	165647
671	82225	165552
672	82349	165432
673	82460	165288
674	82566	165132
675	82682	164997
676	82816	164898
677	82939	164777
678	83036	164606
679	83165	164497
680	83279	164358
681	83385	164204
682	83488	164044
683	83589	163879
684	83682	163699
685	83802	163572
686	83903	163409
687	83990	163219
688	84089	163054
689	84213	162934
690	84303	162750
691	84405	162590
692	84513	162442
693	84641	162330
694	84763	162208
695	84863	162046
696	84968	161890
697	85083	161756
698	85185	161595
699	85285	161432
700	85395	161288
701	85506	161145
702	85618	161005
703	85722	160852
704	85848	160738
705	85971	160617
706	86082	160476
707	86203	160353
708	86322	160226
709	86419	160059
710	86547	159949
711	86669	159827
712	86775	159676
713	86893	159548
714	87038	159469
715	87129	159290
716	87238	159146
717	87363	159030
718	87460	158863
719	87590	158757
720	87701	158617
721	87830	158508
722	87963	158407
723	88089	158293
724	88199	158150
725	88332	158049
726	88443	157907
727	88566	157789
728	88691	157672
729	88816	157558
730	88937	157435
731	89055	157306
732	89146	157132
733	89275	157022
734	89371	156855
735	89472	156699
736	89599	156585
737	89712	156449
738	89807	156281
739	89916	156138
740	90042	156025
741	90136	155856
742	90275	155765
743	90397	155644
744	90502	155494
745	90600	155333
746	90716	155201
747	90829	155065
748	90954	154949
749	91039	154767
750	91186	154689
751	91313	154576
752	91423	154436
753	91531	154292
754	91628	154130
755	91740	153992
756	91846	153846
757	91974	153736
758	92082	153592
759	92206	153475
760	92315	153332
761	92452	153238
762	92551	153080
763	92701	153006
764	92830	152897
765	92943	152761
766	93043	152606
767	93144	152451
768	93268	152334
769	93395	152223
770	93516	152100
771	93630	151967
772	93741	151829
773	93862	151708
774	93990	151598
775	94112	151477
776	94218	151332
777	94323	151184
778	94448	151068
779	94552	150920
780	94670	150793
781	94779	150653
782	94906	150540
783	95012	150396
784	95134	150275
785	95232	150117
786	95347	149986
787	95452	149840
788	95539	149666
789	95647	149524
790	95760	149391
791	95880	149268
792	96005	149152
793	96105	148999
794	96227	148880
795	96331	148732
796	96428	148575
797	96532	148427
798	96656	148311
799	96785	148203
800	96887	148053
801	97001	147921
802	97131	147813
803	97236	147669
804	97327	147502
805	97438	147366
806	97543	147221
807	97693	147144
808	97832	147051
809	97941	146912
810	98074	146808
811	98187	146676
812	98288	146525
813	98389	146375
814	98480	146210
815	98620	146117
